area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.735538170
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,All Wired,0.997036510,0.997036510,0.997036510,0.997036510,0.997036510,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,All Wired,0.999170223,0.999170223,0.999170223,0.999170223,0.999170223,0.735538170
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Any Terrestrial,0.998103367,0.998103367,0.998103367,0.997155050,0.997036510,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Any Terrestrial,0.999407302,0.999407302,0.999407302,0.999288762,0.999170223,0.735538170
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,All Wired and Licensed Fixed Wireless,0.998103367,0.998103367,0.998103367,0.997155050,0.997036510,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,All Wired and Licensed Fixed Wireless,0.999407302,0.999407302,0.999407302,0.999288762,0.999170223,0.735538170
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Copper,0,0,0.000000000,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Cable/Fiber,0.997036510,0.997036510,0.997036510,0.997036510,0.997036510,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Cable/Fiber,0.999170223,0.999170223,0.999170223,0.999170223,0.999170223,0.735538170
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Cable,0.989331437,0.989331437,0.989331437,0.989331437,0.989331437,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Cable,0.989331437,0.989331437,0.989331437,0.989331437,0.989331437,0.343290659
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Fiber,0.772285443,0.772285443,0.772285443,0.772285443,0.772285443,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Fiber,0.937292556,0.937292556,0.937292556,0.937292556,0.936936937,0.653745851
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,All Fixed Wireless,0.959103841,0.664770033,0.664770033,0.285443338,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,All Fixed Wireless,0.962185870,0.709222380,0.688240872,0.284257942,0.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Licensed Fixed Wireless,0.959103841,0.664770033,0.664770033,0.285443338,0.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Licensed Fixed Wireless,0.962185870,0.709222380,0.688240872,0.284257942,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",8436,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,All Wired,0,0,0,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,All Wired,0,0.000000000,0,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Cable/Fiber,0.000000000,0,0,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Cable/Fiber,0,0,0,0.000000000,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Cable,0,0,0,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Fiber,0,0,0.000000000,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,2400175,Aberdeen Proving Ground,"Aberdeen Proving Ground, MD",614,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,All Wired,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,All Wired,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Any Terrestrial,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Any Terrestrial,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,All Wired and Licensed Fixed Wireless,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,All Wired and Licensed Fixed Wireless,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Cable/Fiber,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Cable/Fiber,0.999446290,0.999446290,0.999446290,0.999446290,0.999446290,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Cable,0.993909192,0.993909192,0.993909192,0.993909192,0.993909192,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Cable,0.993909192,0.993909192,0.993909192,0.993909192,0.993909192,0.456810631
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Fiber,0.904208195,0.904208195,0.904208195,0.904208195,0.904208195,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Fiber,0.904208195,0.904208195,0.904208195,0.904208195,0.904208195,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,All Fixed Wireless,0.913621262,0.818383167,0.818383167,0.473975637,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,All Fixed Wireless,0.714285714,0.645625692,0.645625692,0.464562569,0.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Licensed Fixed Wireless,0.913621262,0.818383167,0.818383167,0.473975637,0.000000000,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Licensed Fixed Wireless,0.714285714,0.645625692,0.645625692,0.464562569,0,0.000000000
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,2400200,Abingdon,"Abingdon, MD",1806,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,R,All Wired,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,All Wired,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,All Wired and Licensed Fixed Wireless,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Cable/Fiber,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Cable/Fiber,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Cable,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Cable,0.995192308,0.995192308,0.995192308,0.995192308,0.995192308,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Fiber,0.004807692,0.004807692,0.004807692,0.004807692,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Licensed Fixed Wireless,0.826923077,0.826923077,0.793269231,0,0,0.000000000
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Licensed Fixed Wireless,0.682692308,0.605769231,0.567307692,0,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,R,Other,0,0,0,0.000000000,0,0
Total,Census Place,2400225,Accident,"Accident, MD",208,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,All Wired,0.995448043,0.995448043,0.995448043,0.995448043,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,All Wired,0.995578099,0.995578099,0.995578099,0.995578099,0.995448043,0.753544024
