area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,2400125,"Aberdeen, MD",17.485195000,0.000000000,0.000000000,1.000000000,0.993975904,1.000000000,1.000000000,1.000000000,0.981927711
Total,Census Place,2400175,"Aberdeen Proving Ground, MD",31.178420000,0.000000000,0.000000000,1.000000000,0.929054054,0.996621622,0.851351351,0.763513514,0.570945946
Total,Census Place,2400200,"Abingdon, MD",7.267942500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2400225,"Accident, MD",1.263990000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.750000000,0.750000000
Total,Census Place,2400250,"Accokeek, MD",76.998057500,0.000000000,0.000000000,1.000000000,0.859097127,0.991792066,0.827633379,0.926128591,0.604651163
Total,Census Place,2400350,"Adamstown, MD",2.843977500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.962962963
Total,Census Place,2400400,"Adelphi, MD",7.057277500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2400712,"Algonquin, MD",7.583940000,0.000000000,0.000000000,1.000000000,0.861111111,0.527777778,0.041666667,0.291666667,0.013888889
Total,Census Place,2400800,"Allen, MD",1.263990000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2401450,"Andrews AFB, MD",18.538520000,0.000000000,0.000000000,1.000000000,0.994318182,1.000000000,1.000000000,0.994318182,0.988636364
Total,Census Place,2401600,"Annapolis, MD",21.171832500,0.000000000,0.000000000,1.000000000,0.995024876,1.000000000,1.000000000,1.000000000,0.970149254
Total,Census Place,2401635,"Annapolis Neck, MD",30.862422500,0.000000000,0.000000000,1.000000000,0.863481229,1.000000000,0.965870307,0.979522184,0.846416382
