provider_id,holding_company,technology_code,technology_code_desc,area_stationary,area_invehicle
130011,"Adak Eagle Enterprises, LLC",400,4G LTE,642,525
130018,"Agri-Valley Communications, Inc.",400,4G LTE,6729,4257
130067,"Arctic Slope Telephone Association Cooperative, Inc.",400,4G LTE,13117,5514
130077,AT&T Inc.,400,4G LTE,5582639,3426406
130077,AT&T Inc.,500,5G-NR (7/1 Mbps),3111332,1395825
130077,AT&T Inc.,500,5G-NR (35/3 Mbps),2153452,1030290
130081,"ATN International, Inc.",300,3G,2022,2022
130081,"ATN International, Inc.",400,4G LTE,1996,1996
130081,"ATN International, Inc.",500,5G-NR (7/1 Mbps),322,186
130349,Copper Valley Telephone Cooperative,400,4G LTE,18357,12943
130352,"Cordova Telephone Cooperative, Inc.",400,4G LTE,6476,3049
130366,"NBVDS Investments, LLC",400,4G LTE,2039,1463
130378,Custer Telephone Cooperative Inc.,400,4G LTE,3604,3238
130403,"T-Mobile USA, Inc.",400,4G LTE,4391388,1851353
130403,"T-Mobile USA, Inc.",500,5G-NR (7/1 Mbps),3739598,1343343
130403,"T-Mobile USA, Inc.",500,5G-NR (35/3 Mbps),2616603,702670
130431,"Eagle Telephone Systems, Inc.",400,4G LTE,4257,3322
130490,"Farmers Telephone Cooperative, Inc. (SC)",400,4G LTE,12306,10881
130490,"Farmers Telephone Cooperative, Inc. (SC)",500,5G-NR (7/1 Mbps),4745,2653
130490,"Farmers Telephone Cooperative, Inc. (SC)",500,5G-NR (35/3 Mbps),3355,1727
130534,GCI Holdings LLC,300,3G,136579,89134
130534,GCI Holdings LLC,400,4G LTE,28471,15635
130534,GCI Holdings LLC,500,5G-NR (35/3 Mbps),2194,1275
130534,GCI Holdings LLC,500,5G-NR (7/1 Mbps),8669,5125
130673,James Valley Cooperative Telephone Company,400,4G LTE,16114,12243
130673,James Valley Cooperative Telephone Company,500,5G-NR (7/1 Mbps),11858,7817
130741,Liberty Latin America Ltd.,400,4G LTE,1450,1213
130741,Liberty Latin America Ltd.,500,5G-NR (7/1 Mbps),11150,9761
130741,Liberty Latin America Ltd.,500,5G-NR (35/3 Mbps),874,581
130794,"NBVDS Investment, LLC",400,4G LTE,7164,5273
130886,"NE Colorado Cellular, Inc.",300,3G,165719,122169
130886,"NE Colorado Cellular, Inc.",400,4G LTE,74685,44631
130886,"NE Colorado Cellular, Inc.",500,5G-NR (35/3 Mbps),251,85
130886,"NE Colorado Cellular, Inc.",500,5G-NR (7/1 Mbps),1731,732
130890,"Nemont Telephone Cooperative, Inc.",400,4G LTE,41563,31436
130926,North Carolina RSA 3 Cellular Telephone Company,400,4G LTE,4501,2495
130926,North Carolina RSA 3 Cellular Telephone Company,500,5G-NR (35/3 Mbps),979,547
130926,North Carolina RSA 3 Cellular Telephone Company,500,5G-NR (7/1 Mbps),1537,899
130937,"Northeast Communications of Wisconsin, Inc.",400,4G LTE,38889,21447
130937,"Northeast Communications of Wisconsin, Inc.",500,5G-NR (7/1 Mbps),2993,1500
130937,"Northeast Communications of Wisconsin, Inc.",500,5G-NR (35/3 Mbps),1804,805
130962,Nucla-Naturita Telephone Company,400,4G LTE,1802,1095
130999,"NTT DoCoMo, Inc.",300,3G,638,600
130999,"NTT DoCoMo, Inc.",400,4G LTE,693,227
130999,"NTT DoCoMo, Inc.",500,5G-NR (35/3 Mbps),360,86
130999,"NTT DoCoMo, Inc.",500,5G-NR (7/1 Mbps),368,124
131007,"Panhandle Telephone Cooperative, Inc.",400,4G LTE,13553,13473
131007,"Panhandle Telephone Cooperative, Inc.",500,5G-NR (7/1 Mbps),2824,2134
131038,Pine Belt Communications Co. Inc.,400,4G LTE,11661,11660
131039,Pine Telephone Company,400,4G LTE,16112,12505
131190,"Horizon Communications, Inc.",400,4G LTE,4699,3925
131208,"Smith Bagley, Inc.",300,3G,8850,5970
131208,"Smith Bagley, Inc.",400,4G LTE,30646,19262
131226,American Broadband Holding Company,400,4G LTE,5087,2271
131227,Southern Company,400,4G LTE,126503,57366
131302,"Telapex, Inc.",400,4G LTE,100202,67384
131302,"Telapex, Inc.",500,5G-NR (7/1 Mbps),41284,22456
131302,"Telapex, Inc.",500,5G-NR (35/3 Mbps),9401,3758
131309,"TeleGuam Holdings, Inc.",400,4G LTE,454,421
131309,"TeleGuam Holdings, Inc.",500,5G-NR (35/3 Mbps),169,117
131309,"TeleGuam Holdings, Inc.",500,5G-NR (7/1 Mbps),268,175
131310,"Telephone and Data Systems, Inc.",400,4G LTE,630636,371032
131310,"Telephone and Data Systems, Inc.",500,5G-NR (7/1 Mbps),489400,307277
131310,"Telephone and Data Systems, Inc.",500,5G-NR (35/3 Mbps),109014,51048
131328,"Thacker-Grigsby Telephone Company, Inc.",400,4G LTE,19452,15737
