geoid,county,hogan,jealous,quinn,schlakman,write_ins.x,cox,moore,lashar,wallace,harding,sefcik,write_ins.y,pct_cox,pct_hogan
24001,Allegany,19224,3985,166,139,16,13833,6390,279,143,267,0,17,0.3382669483879605,0.5535419212397245
24003,Anne Arundel,157202,69399,1366,1052,187,73775,88375,3554,988,1268,0,588,0.3382669483879605,0.5535419212397245
24510,Baltimore City,58360,123609,1055,1491,176,11387,112984,1282,1231,1443,0,246,0.3382669483879605,0.5535419212397245
24005,Baltimore County,198122,122773,1633,1492,256,80759,136462,3993,1648,2409,0,702,0.3382669483879605,0.5535419212397245
24009,Calvert,29610,9216,303,130,25,18447,14236,504,142,242,0,89,0.3382669483879605,0.5535419212397245
24011,Caroline,9489,1900,82,28,6,6727,3276,176,56,140,0,21,0.3382669483879605,0.5535419212397245
24013,Carroll,62445,11767,533,261,45,38969,25155,1515,436,561,0,301,0.3382669483879605,0.5535419212397245
24015,Cecil,27063,7354,353,154,15,18159,8691,472,155,311,21,35,0.3382669483879605,0.5535419212397245
24017,Charles,31756,32100,274,193,37,15096,33633,408,283,414,0,78,0.3382669483879605,0.5535419212397245
24019,Dorchester,9205,3043,72,39,8,6169,4341,139,69,157,0,19,0.3382669483879605,0.5535419212397245
24021,Frederick,72560,33355,746,499,59,44307,51423,1700,555,722,0,306,0.3382669483879605,0.5535419212397245
24023,Garrett,9472,1395,86,48,7,8195,2402,194,52,138,0,15,0.3382669483879605,0.5535419212397245
24025,Harford,85259,24012,756,461,91,51930,40837,2033,618,914,0,301,0.3382669483879605,0.5535419212397245
24027,Howard,80574,61146,800,752,111,33110,83690,2464,802,713,0,419,0.3382669483879605,0.5535419212397245
24029,Kent,6370,2222,43,57,2,3718,4256,106,56,93,0,10,0.3382669483879605,0.5535419212397245
24031,Montgomery,180018,224029,1922,2110,349,58701,227161,3443,2444,1677,0,768,0.3382669483879605,0.5535419212397245
24033,Prince George's,89925,225889,1469,1423,279,17937,179968,1081,1693,1984,0,314,0.3382669483879605,0.5535419212397245
24035,Queen Anne's,19503,3268,99,86,15,12840,8577,416,120,212,0,89,0.3382669483879605,0.5535419212397245
24037,Saint Mary's,30703,9084,410,170,27,NA,NA,NA,NA,NA,NA,NA,0.3382669483879605,0.5535419212397245
24039,Somerset,5203,2379,71,33,16,3974,2254,67,46,81,0,6,0.3382669483879605,0.5535419212397245
24041,Talbot,14081,3957,79,66,7,7497,7989,289,70,128,0,44,0.3382669483879605,0.5535419212397245
24043,Washington,38765,10894,491,268,43,27571,17006,646,257,483,0,75,0.3382669483879605,0.5535419212397245
24045,Wicomico,22659,10426,284,141,24,14612,12213,388,171,358,0,46,0.3382669483879605,0.5535419212397245
24047,Worcester,18076,5437,148,82,12,13433,8550,273,121,161,0,31,0.3382669483879605,0.5535419212397245
